Start,Stop,Title,Description
05/04/17,05/11/17,MVP,Finish the Marketing course MVP.
05/11/17,05/25/17,Generalized MVP,"Ensure that the MVP works for other courses (Climate Change, Programming, China, Creative Writing)."
05/25/17,06/08/17,User Testing,Connect with the administrators of each course and get their feedback.
06/08/17,06/15/17,Deployment,Migrate the code from the GitHub repository to an external server.
06/15/17,06/22/17,Post-deployment tweaks,Polish the product before the final presentation.
06/22/17,06/26/17,Report and Presentation,Write the final reports and prepare for the final presentation.
